archivo,campo_json,tipo_observado,nullable,significado,unidad,fuente,ejemplo_real
aceras_ecuador.geojson,DPA_CANTONES,array,no,Codigo DPA cantonal,codigo,INEC/CONALI,
aceras_ecuador.geojson,DPA_PROVINCIAS,array,no,Codigo DPA provincial,codigo,INEC/CONALI,
aceras_ecuador.geojson,attribution,string,no,Atribucion requerida por la fuente,texto,OpenStreetMap,"OpenStreetMap contributors, ODbL"
aceras_ecuador.geojson,crossing,string,no,Valor del tag OSM crossing,texto,OpenStreetMap,marked
aceras_ecuador.geojson,cycleway,string,no,Valor del tag OSM cycleway,texto,OpenStreetMap,shared_lane
aceras_ecuador.geojson,cycleway:both,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,no
aceras_ecuador.geojson,cycleway:left,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,track
aceras_ecuador.geojson,cycleway:right,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,track
aceras_ecuador.geojson,fecha_extraccion,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,2026-07-16
aceras_ecuador.geojson,footway,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,sidewalk
aceras_ecuador.geojson,highway,string,no,Valor del tag OSM highway,texto,OpenStreetMap,footway
aceras_ecuador.geojson,junction,string,no,Valor del tag OSM junction,texto,OpenStreetMap,roundabout
aceras_ecuador.geojson,lit,string,no,Valor del tag OSM lit,texto,OpenStreetMap,no
aceras_ecuador.geojson,maxspeed,string,no,Valor del tag OSM maxspeed,texto,OpenStreetMap,50
aceras_ecuador.geojson,name,string,no,Valor del tag OSM name,texto,OpenStreetMap,1 de septiembre
aceras_ecuador.geojson,osm_id,integer,no,Identificador del objeto OpenStreetMap,identificador,OpenStreetMap,768186604
aceras_ecuador.geojson,osm_type,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,way
aceras_ecuador.geojson,representacion,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,geometria_osm
aceras_ecuador.geojson,sidewalk,string,no,Valor del tag OSM sidewalk,texto,OpenStreetMap,both
aceras_ecuador.geojson,traffic_calming,string,no,Valor del tag OSM traffic_calming,texto,OpenStreetMap,table
brt_metrobus_ecuador.geojson,DPA_CANTONES,array,no,Codigo DPA cantonal,codigo,INEC/CONALI,
brt_metrobus_ecuador.geojson,DPA_PROVINCIAS,array,no,Codigo DPA provincial,codigo,INEC/CONALI,
brt_metrobus_ecuador.geojson,attribution,string,no,Atribucion requerida por la fuente,texto,OpenStreetMap,"OpenStreetMap contributors, ODbL"
brt_metrobus_ecuador.geojson,fecha_extraccion,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,2026-07-16
brt_metrobus_ecuador.geojson,highway,string,no,Valor del tag OSM highway,texto,OpenStreetMap,busway
brt_metrobus_ecuador.geojson,lanes:bus,string,no,Campo observado; ver diccionario metodologico,segun campo,Ver procedencia de la capa,1
brt_metrobus_ecuador.geojson,maxspeed,string,no,Valor del tag OSM maxspeed,texto,OpenStreetMap,40
